run_id,arch_name,dataset,noise_level,seed,run_seed,model_index,epochs,lr,num_metric_samples,in_channels,num_classes,input_size,gen_depth,gen_stages,gen_channels_str,lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau,total_tbd
plain_cnn_bn-m0-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,42,0,15,0.001,1000,3,10,32,32,nan,"[64, 32, 64, 32, 32, 32, 32, 64, 32, 32, 64, 32, 64, 64, 32, 32, 64, 64, 64, 32, 32, 64, 32, 64, 32, 32, 64, 32, 64, 32, 32, 32]",2.6464393446710157,0.11230585424133811,73.57,5586.106832122803,949.382234472839,1.9481642321657227,106179.04408836365
plain_cnn_bn-m0-cifar-n50-s42,plain_cnn_bn,cifar,0.5,42,42,0,15,0.001,1000,3,10,32,32,nan,"[64, 32, 64, 32, 32, 32, 32, 64, 32, 32, 64, 32, 64, 64, 32, 32, 64, 64, 64, 32, 32, 64, 32, 64, 32, 32, 64, 32, 64, 32, 32, 32]",2.721928094887361,0.11328051311073382,13.81,9905.51119003296,2294.4450879416695,0.2579207872664456,156689.94375610352
plain_cnn_bn-m0-cifar-n100-s42,plain_cnn_bn,cifar,1.0,42,42,0,15,0.001,1000,3,10,32,32,nan,"[64, 32, 64, 32, 32, 32, 32, 64, 32, 32, 64, 32, 64, 64, 32, 32, 64, 64, 64, 32, 32, 64, 32, 64, 32, 32, 64, 32, 64, 32, 32, 32]",2.7219280948873625,0.11621020619322826,9.97,9488.50211982727,1056.7550587689482,0.70515201775078,139180.31678199768
plain_cnn_bn-m1-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,43,1,15,0.001,1000,3,10,32,8,nan,"[64, 64, 64, 64, 32, 32, 64, 64]",2.2686657518169997,0.12597680254726096,76.45,585.0301029205323,55.878509781955835,0.5109121588601949,11432.950113296509
plain_cnn_bn-m1-cifar-n50-s42,plain_cnn_bn,cifar,0.5,42,43,1,15,0.001,1000,3,10,32,8,nan,"[64, 64, 64, 64, 32, 32, 64, 64]",2.4900733046732713,0.11816238216917334,65.54,569.3949409484864,31.58275353882158,1.6485926340736838,12064.444885253906
plain_cnn_bn-m1-cifar-n100-s42,plain_cnn_bn,cifar,1.0,42,43,1,15,0.001,1000,3,10,32,8,nan,"[64, 64, 64, 64, 32, 32, 64, 64]",2.5266544422922514,0.11621306443038193,1.71,716.2109886169434,73.47040213887557,0.6312053607153116,14691.99815750122
plain_cnn_bn-m2-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,44,2,15,0.001,1000,3,10,32,16,nan,"[64, 32, 32, 64, 64, 64, 32, 64, 64, 64, 64, 32, 32, 32, 64, 32]",2.9219280948873627,0.11328051311073382,81.08,3095.855771350861,213.4638110551519,1.2237370329642372,58134.65986633301
plain_cnn_bn-m2-cifar-n50-s42,plain_cnn_bn,cifar,0.5,42,44,2,15,0.001,1000,3,10,32,16,nan,"[64, 32, 32, 64, 64, 64, 32, 64, 64, 64, 64, 32, 32, 32, 64, 32]",2.9219280948873627,0.11621020619322826,68.0,2937.635505867004,285.41954175562637,1.9504949112518433,61194.72635936737
plain_cnn_bn-m2-cifar-n100-s42,plain_cnn_bn,cifar,1.0,42,44,2,15,0.001,1000,3,10,32,16,nan,"[64, 32, 32, 64, 64, 64, 32, 64, 64, 64, 64, 32, 32, 32, 64, 32]",2.5219280948873637,0.12402462657131587,4.47,4871.9364608764645,937.3489306823043,0.10000000000013577,86498.36138916016
plain_cnn_bn-m3-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,45,3,15,0.001,1000,3,10,32,16,nan,"[64, 64, 64, 64, 32, 64, 64, 32, 32, 64, 64, 64, 64, 64, 32, 64]",2.457650539660553,0.12109493348882143,79.42,3594.7712341308593,206.71304529937927,1.7022864037965477,68409.03078842163
