run_id	arch_name	dataset	noise_level	seed	model_index	gen_depth	gen_channels_str	lce	lpa	final_acc	asymptotic_tbd_mean	asymptotic_tbd_std	tau
plain_cnn_bn-m0-cifar-n0-s42	plain_cnn_bn	cifar	0.0	42	0	4	[16, 64, 64, 16]	2.350003082892045	0.12497420020639834	63.13	1724.590478515625	104.04392800993435	0.7295421620834066
plain_cnn_bn-m0-cifar-n100-s42	plain_cnn_bn	cifar	1.0	42	0	4	[16, 64, 64, 16]	2.5281181153479495	0.13085655314757483	1.23	1837.125714111328	218.4808763857558	0.8574774975279056
plain_cnn_bn-m1-cifar-n0-s42	plain_cnn_bn	cifar	0.0	42	1	4	[32, 32, 64, 64]	2.253647920441685	0.11718839582616673	65.39	364.4224983215332	42.50408314718195	0.5008290355053113
plain_cnn_bn-m1-cifar-n100-s42	plain_cnn_bn	cifar	1.0	42	1	4	[32, 32, 64, 64]	2.546258178589257	0.13083361999770668	1.77	522.6756767272949	98.34513227772406	0.2757123589903297
plain_cnn_nobn-m0-cifar-n0-s42	plain_cnn_nobn	cifar	0.0	42	0	8	[16, 32, 16, 16, 64, 16, 32, 64]	2.285449318235533	0.12108703130374958	50.25	166.96560077667237	25.37725518438678	0.9638579008029959
plain_cnn_nobn-m0-cifar-n100-s42	plain_cnn_nobn	cifar	1.0	42	0	8	[16, 32, 16, 16, 64, 16, 32, 64]	2.5749721207562857	0.11914918013989222	10.0	171.79236109256743	168.87465566493805	0.10000000000609954
plain_cnn_nobn-m1-cifar-n0-s42	plain_cnn_nobn	cifar	0.0	42	1	16	[16, 32, 64, 64, 16, 32, 64, 16, 64, 16, 64, 64, 64, 32, 16, 64]	2.7219280948873625	0.12695791766999198	10.0	1.2669758983713109	0.43350721393579983	0.6382300766922696
plain_cnn_nobn-m1-cifar-n100-s42	plain_cnn_nobn	cifar	1.0	42	1	16	[16, 32, 64, 64, 16, 32, 64, 16, 64, 16, 64, 64, 64, 32, 16, 64]	2.5219280948873637	0.11913771356495813	10.0	1.438409842384965	0.47940969011733375	0.9530622731730841
resnet-m0-cifar-n0-s42	resnet	cifar	0.0	42	0	16	4	[64, 16, 64, 16]	2.367873268400503	0.12695791766999198	76.42	16894.927783203126	512.7732775300392	1.1731281566016951
resnet-m0-cifar-n100-s42	resnet	cifar	1.0	42	0	16	4	[64, 16, 64, 16]	2.566279205850485	0.12499713335626648	1.86	29387.798461914062	4417.106012080365	5.9955642648201
resnet-m1-cifar-n0-s42	resnet	cifar	0.0	42	1	32	4	[64, 64, 64, 32]	2.381324953463722	0.11523907808737528	79.45	24819.795599365236	1738.5828142605028	1.0951554224025442
resnet-m1-cifar-n100-s42	resnet	cifar	1.0	42	1	32	4	[64, 64, 64, 32]	2.5266294163606755	0.12108703130374958	3.55	32567.983807373046	6554.592706895177	2.611673142859449
plain_cnn_bn-m0-mnist-n0-s42	plain_cnn_bn	mnist	0.0	42	0	4		[16, 64, 64, 16]	1.9137456101133927	0.12109849787868364	96.07	1285.8816772460937	61.96235200576115	0.32758338876031934
plain_cnn_bn-m0-mnist-n100-s42	plain_cnn_bn	mnist	1.0	42	0	4		[16, 64, 64, 16]	2.5178399406913705	0.11522761151244122	0.01	1168.0483139038085	119.19664122241062	1.3587894042385635
plain_cnn_bn-m1-mnist-n0-s42	plain_cnn_bn	mnist	0.0	42	1	4		[32, 32, 64, 64]	1.4558341570356048	0.12109849787868364	99.27	157.38888511657714	10.0864904178718	0.3378207727118928
plain_cnn_bn-m1-mnist-n100-s42	plain_cnn_bn	mnist	1.0	42	1	4		[32, 32, 64, 64]	2.520694077029669	0.11914918013989222	0.01	140.0490016937256	11.285477037007206	0.545992938996043
plain_cnn_nobn-m0-mnist-n0-s42	plain_cnn_nobn	mnist	0.0	42	0	8		[16, 32, 16, 16, 64, 16, 32, 64]	2.3016761625817574	0.11718839582616673	97.72	1474.2180124282836	215.0134803212801	0.6866955206739596
plain_cnn_nobn-m0-mnist-n100-s42	plain_cnn_nobn	mnist	1.0	42	0	8		[16, 32, 16, 16, 64, 16, 32, 64]	2.5796436587444553	0.11132897603485838	0.36	174.38209347724916	47.71931473195151	11.372610755167411
plain_cnn_nobn-m1-mnist-n0-s42	plain_cnn_nobn	mnist	0.0	42	1	16		[16, 32, 64, 64, 16, 32, 64, 16, 64, 16, 64, 64, 64, 32, 16, 64]	2.7219280948873625	0.14257539273019149	11.35	1.3172571263153259	0.6300801328892008	0.714843507777014
plain_cnn_nobn-m1-mnist-n100-s42	plain_cnn_nobn	mnist	1.0	42	1	16		[16, 32, 64, 64, 16, 32, 64, 16, 64, 16, 64, 64, 64, 32, 16, 64]	2.3709505944546687	0.11718839582616673	8.92	1.0909451011576494	0.49393302722124455	0.6851954789939237
