run_id,arch_name,dataset,noise_level,seed,model_index,gen_depth,gen_stages,gen_channels_str,lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau
plain_cnn_bn-m0-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,0,4,,"[16, 16, 16, 16]",2.2816708840525814,0.11718839582616673,57.73,2036.2259490966796,395.1120006110107,0.7846806119285622
plain_cnn_bn-m0-cifar-n100-s42,plain_cnn_bn,cifar,1.0,42,0,4,,"[16, 16, 16, 16]",2.5418273729091374,0.11718839582616673,1.29,1615.3861511230468,351.65836213975314,0.587499087220882
plain_cnn_bn-m1-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,1,4,,"[64, 64, 64, 64]",2.2828135491437305,0.11914918013989222,74.86,386.68940887451174,47.87532389380994,0.939678076101912
plain_cnn_bn-m1-cifar-n100-s42,plain_cnn_bn,cifar,1.0,42,1,4,,"[64, 64, 64, 64]",2.5605960515451587,0.13083361999770668,1.33,625.5720233917236,41.918526515118245,0.7910112698855174
plain_cnn_bn-m2-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,2,8,,"[64, 16, 16, 64, 64, 64, 16, 64]",2.3569990185429464,0.12109849787868364,75.68,2360.680810165405,192.22674848122085,0.776548792048986
plain_cnn_bn-m2-cifar-n100-s42,plain_cnn_bn,cifar,1.0,42,2,8,,"[64, 16, 16, 64, 64, 64, 16, 64]",2.5143981040595245,0.13867675725260864,1.96,4133.642435455322,548.0864035706765,0.857998768075701
resnet-m0-cifar-n0-s42,resnet,cifar,0.0,42,0,4,4,"[16, 64, 64, 64]",2.3120269412641807,0.12304781561747506,76.21,2761.1046661376954,101.85035273795249,0.6371352332003025
resnet-m0-cifar-n100-s42,resnet,cifar,1.0,42,0,4,4,"[16, 64, 64, 64]",2.5340132328764913,0.12304781561747506,1.43,3382.7966735839846,281.7881071825642,0.579235956034352
resnet-m1-cifar-n0-s42,resnet,cifar,0.0,42,1,8,4,"[64, 64, 16, 64]",2.2809307750780974,0.12304781561747506,78.8,10160.772747802734,445.7505023549777,0.656363911649705
resnet-m1-cifar-n100-s42,resnet,cifar,1.0,42,1,8,4,"[64, 64, 16, 64]",2.57154882498942,0.11913771356495813,1.84,12582.13182373047,2162.6959327273876,0.10000000000000003
resnet-m2-cifar-n0-s42,resnet,cifar,0.0,42,2,4,4,"[64, 16, 16, 64]",2.340485293213768,0.12108703130374958,75.31,1454.5486785888672,148.17082583818984,0.6842389993885254
resnet-m2-cifar-n100-s42,resnet,cifar,1.0,42,2,4,4,"[64, 16, 16, 64]",2.544496547728192,0.12499713335626648,2.84,1875.6240356445312,205.144997766354,0.4635879780764401
