lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau,run_id,arch_name,dataset,noise_level,seed,lr,epochs,num_metric_samples,arch_config,in_channels,num_classes,input_size
2.4317127932416436,0.13281370581879917,76.36,2446.2174207687376,117.16024458328863,1.124317086775963,plain_cnn_bn-cifar-n0-s42-i0,plain_cnn_bn,cifar,0.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': True, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",3,10,32
2.4317127932416436,0.13281370581879917,74.69,2499.035099411011,162.0782293238618,0.9522461152525361,plain_cnn_bn-cifar-n0-s42-i1,plain_cnn_bn,cifar,0.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': True, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",3,10,32
2.675853418241643,0.10937616115884367,2.72,4714.744524383545,979.4961637578973,0.1000000000000237,plain_cnn_bn-cifar-n100-s42-i0,plain_cnn_bn,cifar,1.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': True, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",3,10,32
2.675853418241643,0.10937616115884367,4.62,5168.584616470337,1161.5842025422417,0.10000000000000069,plain_cnn_bn-cifar-n100-s42-i1,plain_cnn_bn,cifar,1.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': True, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",3,10,32
2.4464393446710155,0.13281370581879917,51.46,13895.698921585083,3788.894135507446,1.1969409389505616,plain_cnn_nobn-cifar-n0-s42-i0,plain_cnn_nobn,cifar,0.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': False, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",3,10,32
2.4464393446710155,0.13281370581879917,52.85,4401.927325439453,1239.0044090149117,1.485529534501574,plain_cnn_nobn-cifar-n0-s42-i1,plain_cnn_nobn,cifar,0.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': False, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",3,10,32
2.8035202518159092,0.10937616115884367,10.0,2.452177364179988,1.852870963747089,1.0579975602906948,plain_cnn_nobn-cifar-n100-s42-i0,plain_cnn_nobn,cifar,1.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': False, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",3,10,32
2.8035202518159092,0.10937616115884367,10.0,1.0007051115855574,0.709211535152961,1.2372355074272579,plain_cnn_nobn-cifar-n100-s42-i1,plain_cnn_nobn,cifar,1.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': False, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",3,10,32
2.3180811841627933,0.12204386822383427,67.57,11220.565316772461,400.8565269028732,0.9872607979537795,resnet-cifar-n0-s42-i0,resnet,cifar,0.0,42,0.001,10,1000,"{'generator': 'resnet', 'depth_choices': [8, 12, 18], 'param_ranges': {'channels': [16, 32, 64], 'kernel_sizes': [3], 'strides': [1, 2], 'bottleneck_ratios': [1.0, 0.5], 'projection_types': ['identity', 'conv1x1'], 'activation_functions': ['relu', 'leaky_relu']}}",3,10,32
2.3180811841627933,0.12204386822383427,69.92,11289.619549560546,725.8583264937777,1.2356211419470409,resnet-cifar-n0-s42-i1,resnet,cifar,0.0,42,0.001,10,1000,"{'generator': 'resnet', 'depth_choices': [8, 12, 18], 'param_ranges': {'channels': [16, 32, 64], 'kernel_sizes': [3], 'strides': [1, 2], 'bottleneck_ratios': [1.0, 0.5], 'projection_types': ['identity', 'conv1x1'], 'activation_functions': ['relu', 'leaky_relu']}}",3,10,32
2.536103975468922,0.11718772329977763,2.45,17441.465156555176,2437.3334122705305,0.3816236932211575,resnet-cifar-n100-s42-i0,resnet,cifar,1.0,42,0.001,10,1000,"{'generator': 'resnet', 'depth_choices': [8, 12, 18], 'param_ranges': {'channels': [16, 32, 64], 'kernel_sizes': [3], 'strides': [1, 2], 'bottleneck_ratios': [1.0, 0.5], 'projection_types': ['identity', 'conv1x1'], 'activation_functions': ['relu', 'leaky_relu']}}",3,10,32
2.536103975468922,0.11718772329977763,1.86,17794.861825561522,3211.2089574183146,8.795573337485457,resnet-cifar-n100-s42-i1,resnet,cifar,1.0,42,0.001,10,1000,"{'generator': 'resnet', 'depth_choices': [8, 12, 18], 'param_ranges': {'channels': [16, 32, 64], 'kernel_sizes': [3], 'strides': [1, 2], 'bottleneck_ratios': [1.0, 0.5], 'projection_types': ['identity', 'conv1x1'], 'activation_functions': ['relu', 'leaky_relu']}}",3,10,32
2.5219280948873624,0.11718772329977763,99.19,1658.7667634010315,108.49806664607306,0.366333106502598,plain_cnn_bn-mnist-n0-s42-i0,plain_cnn_bn,mnist,0.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': True, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",1,10,28
2.5219280948873624,0.11718772329977763,99.36,1744.0484137535095,73.2068381155468,0.4557505872939314,plain_cnn_bn-mnist-n0-s42-i1,plain_cnn_bn,mnist,0.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': True, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",1,10,28
2.4464393446710155,0.11132833713478875,0.04,1778.4785766601562,75.70411584743162,0.5617717377547433,plain_cnn_bn-mnist-n100-s42-i0,plain_cnn_bn,mnist,1.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': True, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",1,10,28
2.4464393446710155,0.11132833713478875,0.06,1901.9583814620971,91.06055113481641,0.4824349562771393,plain_cnn_bn-mnist-n100-s42-i1,plain_cnn_bn,mnist,1.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': True, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",1,10,28
2.5219280948873624,0.11816524040632699,11.35,5.515937182679773,1.887137707132437,0.21180375915892788,plain_cnn_nobn-mnist-n0-s42-i0,plain_cnn_nobn,mnist,0.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': False, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",1,10,28
2.5219280948873624,0.11816524040632699,11.35,2.0965610562358052,0.35261892602644873,0.21763391226571807,plain_cnn_nobn-mnist-n0-s42-i1,plain_cnn_nobn,mnist,0.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': False, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",1,10,28
2.4464393446710155,0.11132833713478875,8.92,9.201196487247945,1.753025973463774,0.5672944761205762,plain_cnn_nobn-mnist-n100-s42-i0,plain_cnn_nobn,mnist,1.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': False, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",1,10,28
2.4464393446710155,0.11132833713478875,8.92,6.407112453132868,2.5879429887073444,0.5308246214132787,plain_cnn_nobn-mnist-n100-s42-i1,plain_cnn_nobn,mnist,1.0,42,0.001,10,1000,"{'generator': 'cnn', 'use_bn': False, 'depth_choices': [8, 12, 16], 'param_ranges': {'channels': [16, 32, 64], 'strides': [1, 2], 'kernels': [3], 'max_downsamples': 3}}",1,10,28
1.9377228456584716,0.12988115449915108,99.28,8735.572621154784,324.98585121651814,0.4590684384171273,resnet-mnist-n0-s42-i0,resnet,mnist,0.0,42,0.001,10,1000,"{'generator': 'resnet', 'depth_choices': [8, 12, 18], 'param_ranges': {'channels': [16, 32, 64], 'kernel_sizes': [3], 'strides': [1, 2], 'bottleneck_ratios': [1.0, 0.5], 'projection_types': ['identity', 'conv1x1'], 'activation_functions': ['relu', 'leaky_relu']}}",1,10,28
1.9377228456584716,0.12988115449915108,99.06,8985.769337463378,513.7374972431669,0.47957524492002107,resnet-mnist-n0-s42-i1,resnet,mnist,0.0,42,0.001,10,1000,"{'generator': 'resnet', 'depth_choices': [8, 12, 18], 'param_ranges': {'channels': [16, 32, 64], 'kernel_sizes': [3], 'strides': [1, 2], 'bottleneck_ratios': [1.0, 0.5], 'projection_types': ['identity', 'conv1x1'], 'activation_functions': ['relu', 'leaky_relu']}}",1,10,28
2.5538960979272294,0.11328051311073382,0.07,8316.053102111817,421.3791968100681,1.1619656115879269,resnet-mnist-n100-s42-i0,resnet,mnist,1.0,42,0.001,10,1000,"{'generator': 'resnet', 'depth_choices': [8, 12, 18], 'param_ranges': {'channels': [16, 32, 64], 'kernel_sizes': [3], 'strides': [1, 2], 'bottleneck_ratios': [1.0, 0.5], 'projection_types': ['identity', 'conv1x1'], 'activation_functions': ['relu', 'leaky_relu']}}",1,10,28
