run_id,arch_name,dataset,noise_level,seed,run_seed,model_index,epochs,lr,num_metric_samples,in_channels,num_classes,input_size,gen_depth,gen_stages,gen_channels_str,lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau,total_tbd
plain_cnn_nbn-m0-mnist-n0-s42,plain_cnn_nbn,mnist,0.0,42,42,0,20,0.001,1000,1,10,28,48,nan,"[512, 32, 512, 16, 32, 256, 32, 16, 64, 32, 16, 64, 16, 128, 512, 512, 512, 16, 128, 512, 64, 512, 256, 32, 64, 16, 64, 16, 32, 512, 64, 512, 256, 32, 16, 32, 256, 128, 256, 512, 16, 32, 512, 256, 512, 64, 256, 16]",2.321928094887362,0.10937616115884367,11.35,0.9403440743684769,0.4923302512956093,0.8460452566441644,71.36111202306323
plain_cnn_nbn-m0-mnist-n50-s42,plain_cnn_nbn,mnist,0.5,42,42,0,20,0.001,1000,1,10,28,48,nan,"[512, 32, 512, 16, 32, 256, 32, 16, 64, 32, 16, 64, 16, 128, 512, 512, 512, 16, 128, 512, 64, 512, 256, 32, 64, 16, 64, 16, 32, 512, 64, 512, 256, 32, 16, 32, 256, 128, 256, 512, 16, 32, 512, 256, 512, 64, 256, 16]",2.7219280948873625,0.12109207525166778,11.35,0.5850129440426827,0.4323213076154584,0.6518141812381051,53.448549269131874
plain_cnn_nbn-m0-mnist-n100-s42,plain_cnn_nbn,mnist,1.0,42,42,0,20,0.001,1000,1,10,28,48,nan,"[512, 32, 512, 16, 32, 256, 32, 16, 64, 32, 16, 64, 16, 128, 512, 512, 512, 16, 128, 512, 64, 512, 256, 32, 64, 16, 64, 16, 32, 512, 64, 512, 256, 32, 16, 32, 256, 128, 256, 512, 16, 32, 512, 256, 512, 64, 256, 16]",2.5219280948873637,0.11816524040632699,8.92,0.5311929419636726,0.36352427363046214,0.4187754500893024,40.90942964234469
plain_cnn_nbn-m1-mnist-n0-s42,plain_cnn_nbn,mnist,0.0,42,43,1,20,0.001,1000,1,10,28,8,nan,"[128, 128, 256, 256, 32, 16, 16, 32]",2.4914214493195477,0.11816524040632699,98.93,2307.394987869263,149.07444681988682,1.162146242835486,141630.57647132874
plain_cnn_nbn-m1-mnist-n50-s42,plain_cnn_nbn,mnist,0.5,42,43,1,20,0.001,1000,1,10,28,8,nan,"[128, 128, 256, 256, 32, 16, 16, 32]",2.5133105152393234,0.11816524040632699,98.03,506.36055183410645,59.84412051309933,2.231650436817679,20170.79273033142
plain_cnn_nbn-m1-mnist-n100-s42,plain_cnn_nbn,mnist,1.0,42,43,1,20,0.001,1000,1,10,28,8,nan,"[128, 128, 256, 256, 32, 16, 16, 32]",2.771461985245616,0.10546895096979987,0.18,254.43447036743163,58.500796484651374,0.10000000075846179,5877.26064157486
plain_cnn_nbn-m2-mnist-n0-s42,plain_cnn_nbn,mnist,0.0,42,44,2,20,0.001,1000,1,10,28,24,nan,"[128, 16, 256, 32, 256, 64, 64, 256, 64, 512, 64, 128, 32, 512, 16, 512, 128, 32, 512, 64, 32, 64, 16, 16]",2.2464393446710167,0.12402176833416223,11.35,2.091420332300731,0.9722661787140893,1.087713774191157,488.1766366114125
plain_cnn_nbn-m2-mnist-n50-s42,plain_cnn_nbn,mnist,0.5,42,44,2,20,0.001,1000,1,10,28,24,nan,"[128, 16, 256, 32, 256, 64, 64, 256, 64, 512, 64, 128, 32, 512, 16, 512, 128, 32, 512, 64, 32, 64, 16, 16]",2.7219280948873625,0.12500214367786525,11.35,0.9514868411464704,0.5012866304344894,1.00800665509794,240.7792242200037
plain_cnn_nbn-m2-mnist-n100-s42,plain_cnn_nbn,mnist,1.0,42,44,2,20,0.001,1000,1,10,28,24,nan,"[128, 16, 256, 32, 256, 64, 64, 256, 64, 512, 64, 128, 32, 512, 16, 512, 128, 32, 512, 64, 32, 64, 16, 16]",2.7219280948873625,0.10839864405229431,9.8,2.044263761842012,1.1245199114148636,1.0986254856365643,470.1371185965472
plain_cnn_nbn-m3-mnist-n0-s42,plain_cnn_nbn,mnist,0.0,42,45,3,20,0.001,1000,1,10,28,16,nan,"[64, 64, 128, 64, 512, 32, 32, 256, 512, 32, 64, 128, 64, 512, 128, 64]",2.2510827894973486,0.1230471094647665,11.35,0.19623030722141266,0.07693865684852808,0.5375314606038916,80.95552827112078
